"IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
46898,10,50,5130,5100,5074,"23.8378357131179",53,1,0,4,4,8,1,1,"2","3","1.24","3.25",8,0,8,0,44,46,1,12,12,12,7,"599714","32228","0","1028","486698","0","99606","619560","636087","638092","2005","4252","640339","187340","178529","155965","127391","-8579","118812","2005","120815","277785","176063","150492","307152","3564","5033","7453","277527","0","27654","6529","195409","180","9879","8811","846","0","8710",0,"682","0","879","31383","5913","6384","2429"
46900,7,46,4600,4600,4600,"47.8273286090207",53,1,0,2,2,7,2,0,"1","1","0","1",23,0,23,0,0,23,2,4,13,14,13,"24170","585","0","0","56431","0","0","57016","96553","98536","1983","0","96553","20368","16871","55776","49132","-2897","46235","1884","48119","259985","84766","131436","213940","362","1992","1252","3060","625","3029","4759","1162","6","3192","3497","0","0","2847",0,"123","222","274","0","0","2340","567"
46901,9,74,7410,5374,5074,"36.1222691444672",53,1,0,2,2,8,1,0,"1","1","0.67","1.68",18,0,18,0,0,50,6,7,12,12,11,"187020","4644","0","440","76267","0","117185","198536","216855","217917","1062","4725","221580","73247","69386","70828","35531","-593","34938","1062","36000","363449","161919","382486","148212","1620","3929","937","22260","0","8152","2434","28800","2385","5078","3861","1067","0","6699",0,"176","1551","995","11712","2019","931","21"
46902,10,50,5220,5200,5074,"39.0080447932509",53,1,0,3,3,5,2,0,"1","1","0","1",0,0,0,0,0,50,0,0,0,1,0,"203903","0","0","0","199019","0","0","200259","200260","204255","3995","0","200260","105163","105163","104785","76948","-4026","72922","3995","76917","122702","62100","15461","169341","0","0","0","0","0","10951","0","76250","0","4809","0","9668","0","6918",0,"0","0","378","0","0","3907","120"
46905,9,50,5220,5200,5074,"35.2733463935869",53,1,0,4,4,9,1,0,"2","2","0.3","2.3",10,0,10,0,0,50,1,9,10,10,6,"286186","15362","0","412","153680","0","118674","288128","302741","311887","9146","886","303627","128512","122011","127116","74444","-6191","68253","8942","77193","359442","93085","106385","353437","337","5047","4859","20119","0","7983","5324","72375","631","9653","6501","1659","0","7531",0,"283","498","667","6915","0","6422","905"
46906,8,73,7310,6184,6184,"93.2382308828499",53,1,0,4,4,7,1,0,"2","2","0","2",10,0,10,0,0,18,1,12,12,12,8,"209698","23179","0","0","96443","0","87142","206764","231835","233758","1923","0","231835","94369","83778","104283","68994","-1458","67536","1923","69464","225991","105134","203504","133325","1039","8064","6494","8752","0","2591","3916","29657","5406","3614","10591","1053","0","6888",0,"248","98","1082","0","0","1769","184"
46907,10,50,5120,5100,5074,"23.8378357131179",53,1,0,3,3,5,1,1,"1.63","1.88","0.88","2.51",0,0,0,0,50,50,0,0,0,1,0,"644354","0","0","0","663664","23655","0","681485","681499","687514","6015","0","681499","238591","238591","218561","137531","-17838","119693","6015","125708","762110","294064","355483","700691","0","0","0","285795","0","42149","1193","95680","9611","14385","0","0","0","6046",0,"248","0","999","16461","2322","16160","1692"
46908,10,50,5120,5100,5074,"23.8378357131179",53,1,0,3,3,5,1,1,"1.05","2.25","1.32","2.37",0,0,0,0,50,50,0,0,0,2,0,"932597","0","0","0","938834","32929","0","944729","948916","949899","983","0","948916","260025","260025","215656","166656","-6994","159662","983","160645","338886","460282","300127","499041","0","0","0","505278","0","36685","510","261939","9809","26657","0","0","0","12214",0,"952","0","1541","31559","10317","8494","2683"
46910,10,50,5130,5100,5074,"23.8378357131179",53,1,0,2,2,5,1,2,"1","3.33","2.33","3.33",18,0,18,0,50,50,0,11,11,11,9,"1041152","-1527","0","-423","860278","30192","191709","1050037","1080765","1082917","2152","11262","1092027","400168","383045","332746","245131","-2957","242174","2152","244326","396726","309291","430048","286548","958","6295","5552","469691","0","29291","7290","185470","6774","15516","17123","1326","0","10580",0,"874","0","2028","55998","21384","3060","76"
46911,9,50,5120,5100,5074,"39.8535274475736",53,1,0,2,2,4,1,0,"1","1","0","1",0,0,0,0,46,46,0,13,13,13,1,"442154","24633","0","2966","329751","97490","0","357350","375274.19","390927.19","15653","57420.55","432694.74","87208","71262","86954.19","42100.19","-10188","31912.19","15653","47565.19","329928","217409","-114208","666662","3186","11264","7090","137833","0","12470","5100","79828","4822","13056","15946","0","0","8706",0,"511","0","1491","0","0","8181","2185"
46912,9,48,4830,4813,4800,"0.951311631369661",53,1,0,2,2,11,1,1,"2","4","2","4",0,20,20,0,0,20,2,10,11,11,9,"591167","-30","0","0","8070","0","586896","595321","627276.35","661488.35","34212","5090","632366.35","373882","361288","332386.35","239636.35","-2526","237110.35","18687","255797.35","565078","214278","626742","162631","3278","6089","0","107632","2150","1163","6644","37850","2695","17257","12594","0","0","6546",0,"2521","302","1543","44267","12185","2555","8"
46914,9,50,5300,5374,5074,"36.1222691444672",53,1,0,2,2,7,1,0,"1","1","0.07","1.08",0,0,0,0,43,46,0,12,12,12,1,"544581","52245","26044","6321","376988","122325","0","461598","475831","476527","696","0","475831","127838","122511","131374","104996","-1469","103527","696","104223","125405","246470","291580","80295","3808","11037","13246","211781","0","7569","5249","47945","4862","7695","5327","707","0","9743",0,"2000","0","1796","1218","240","1352","233"
46915,10,50,5220,5200,5074,"39.0080447932509",53,1,0,0,0,9,1,1,"1","2.79","1.79","2.79",0,0,0,0,0,50,0,0,0,1,0,"157003","0","0","0","157003","0","0","157003","157131","157131","0","0","157131","69805","69805","12115","5762","-20","5742","0","5742","24962","77490","39902","67784","0","0","0","0","0","5394","343","18440","13954","4512","0","206","0","6532",0,"0","0","1123","39786","16781","144","3"
