"","IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
"325",48287,8,15,1510,1500,1516,"75.3991346526384",28,1,0,1,0,10,1,1,"1","2","1","2",4,0,4,0,0,4,0,16,16,16,3,"124311","134670","0","5406","-32413","0","-2250","121754","148959","192604","43645","1763","150722","25366","7091","12744","-60727","-315","-61042","27838","-33204","231885","164409","311719","80864","0","5879","20041","378","0","0","9994","17718","0","13917","18275","906","4699","5475",0,"1130","0","457","18669","1261","350","0"
"326",48288,9,15,1510,1500,1516,"39.0672367480664",28,1,0,3,3,10,2,1,"1","1.25","0.25","1.25",0,0,0,0,0,0,0,25,25,25,1,"209458","222625","0","0","0","0","0","240058","290780","290780","0","0","290780","90224","59139","98596","89017","-87","88930","0","88930","26460","174214","103967","101615","0","11187","31231","0","0","0","19454","14373","9263","13894","31085","0","11781","6427",0,"1965","0","620","4494","231","930","0"
"327",48289,8,15,1510,1500,1516,"75.3991346526384",28,1,0,3,3,6,1,0,"1","1","0","1",0,0,0,0,0,0,0,21,21,21,0,"218402","242489","0","7000","0","0","0","250073","286785","286785","0","0","286785","93278","67935","102359","88052","-2989","85063","0","85063","157333","259323","255853","158880","0","5859","31115","0","0","0","0","14610","2519","17","25343","0","9100","7595",0,"1633","0","573","0","0","3012","59"
"328",48290,8,15,1510,1500,1516,"75.3991346526384",28,1,0,3,3,9,1,0,"1","1","0","1",0,0,0,0,0,0,7,14,17,17,0,"197504","256510","0","0","0","0","0","261425","288858","291108","2250","0","288858","125522","113867.1","135557.1","87930.1","130","88060.1","1875","89935.1","275868","242862","476116","45926","0","8819","27191","0","0","0","12884","2519","5797","14268","11654.9","6000","2717","3218",0,"832","3411","0","0","0","0","43"
"329",48291,8,15,1510,1500,1516,"75.3991346526384",28,1,0,4,4,10,1,0,"1","1","0","1",0,0,0,0,0,0,0,20,20,20,2,"240812","225176","0","0","0","0","0","225176","256818","256818","0","0","256818","97811","80522","109531","61686","-1928","59758","0","59758","110379","96835","15388","191826","0","3827","29237","0","0","0","8172","1757","231","16414","17289","0","0","10418",0,"1948","0","584","0","0","1757","271"
"330",48292,9,15,1510,1500,1516,"39.0672367480664",28,1,0,3,3,6,1,0,"1","1","0","1",0,0,0,0,0,0,4,25,26,26,1,"410781","332863","0","1776","0","0","0","341541","392870","392870","0","0","392870","66665","33888","78779","65765","-1006","64759","-45","64714","181325","416241","374389","226085","0","14081","45312","0","0","0","0","6804","419","2687","32777","0","6043","12461",0,"3843","591","847","0","0","1246","0"
"331",48295,8,39,3610,3900,3900,"7.72699110463874",28,1,0,3,3,8,1,0,"0.5","0.5","0.56","1.06",0,0,0,0,0,0,0,8,8,8,0,"285970","285970","0","0","0","0","0","285970","296536","299224","2688","0","296536","185505","179154","172558","147024","-1786","145238","2688","147926","74756","499352","428001","146107","0","0","22822","0","0","0","0","0","0","6658","6351","0","590","0",0,"1263","0","0","14326","1422","1937","0"
"332",48315,9,29,2912,2900,2829,"3.07993511286836",28,1,0,4,0,7,1,1,"2","4","2","4",0,0,0,0,0,0,1,0,1,1,0,"220037","41244","164761","0","0","0","0","224267","224665","229465","4800","0","224665","99155","99155","41405","32316","343","32659","4800","37459","55687","66990","81286","43290","6221","36082","19","0","0","0","0","5069","1046","2031","0","610","0","4902",0,"0","2479","997","44693","9581","55","0"
"333",48317,9,47,4700,4700,4700,"25.2839425535209",28,1,0,2,0,10,1,0,"2","2","0.09","2.09",46,0,46,0,0,46,0,19,19,19,16,"783893","8388","0","0","263115","297273","209711","481214","520582","535472","14890","37386","557968","152500","129593","158261","100289","-5105","95184","14890","110074","396361","564299","472692","496902","7082","18976","9537","108979","3053","13245","14298","54077","3201","16134","22907","0","0","9082",0,"4430","0","1018","1492","524","4790","704"
"334",48319,9,47,4700,4700,4700,"25.2839425535209",28,1,0,2,0,9,1,1,"1","2","1.31","2.31",45,0,45,0,0,45,0,17,17,17,14,"588710","19473","0","0","190216","66600","327736","537425","573552","573552","0","30104","603656","211702","193351","186798","140377","-4043","136334","0","136334","408355","583090","486717","509682","10185","12868","7938","86217","24599","12192","20767","73085","1724","19163","18351","188","0","10502",0,"2265","0","1691","23777","10530","6971","100"
